61,4,737,124,228,0.543859649122807,0,1,0.0,124,227,0.5462555066079295,0.543859649122807,56,110,0.509090909090909,73,135,208,29,20,28,43,91,304
46,28,868,76,198,0.3838383838383838,16,74,0.21621621621621623,60,124,0.4838709677419355,0.42424242424242425,36,44,0.8181818181818182,44,176,220,62,38,18,56,58,204
69,69,1887,308,658,0.46808510638297873,94,261,0.36015325670498083,214,397,0.5390428211586902,0.5395136778115501,144,184,0.782608695652174,52,344,396,250,84,57,86,120,854
61,61,2013,626,1100,0.5690909090909091,67,221,0.3031674208144796,559,879,0.6359499431171786,0.5995454545454545,398,581,0.685025817555938,97,574,671,357,72,73,207,168,1717
15,0,56,3,10,0.3,0,0,nan,3,10,0.3,0.3,6,13,0.46153846153846156,4,15,19,1,2,4,11,8,12
69,3,1690,327,777,0.42084942084942084,133,325,0.40923076923076923,194,452,0.42920353982300885,0.5064350064350064,137,154,0.8896103896103896,32,182,214,104,46,38,61,144,924
43,42,1112,247,490,0.5040816326530613,37,108,0.3425925925925926,210,382,0.5497382198952879,0.5418367346938775,77,134,0.5746268656716418,106,212,318,43,21,21,59,100,608
58,58,2102,319,642,0.4968847352024922,100,256,0.390625,219,386,0.5673575129533679,0.5747663551401869,195,235,0.8297872340425532,64,321,385,201,43,11,93,75,933
55,55,1714,273,690,0.39565217391304347,83,286,0.2902097902097902,190,404,0.47029702970297027,0.4557971014492754,125,178,0.702247191011236,51,345,396,99,29,25,122,60,754
57,7,1464,193,478,0.40376569037656906,169,428,0.39485981308411217,24,50,0.48,0.5805439330543933,100,115,0.8695652173913043,18,150,168,49,33,13,33,136,655
74,6,1190,178,392,0.45408163265306123,54,170,0.3176470588235294,124,222,0.5585585585585585,0.5229591836734694,74,102,0.7254901960784313,58,196,254,138,30,10,66,136,484
32,2,160,25,58,0.43103448275862066,9,24,0.375,16,34,0.47058823529411764,0.5086206896551724,10,15,0.6666666666666666,0,24,24,7,3,10,13,14,69
28,0,138,25,52,0.4807692307692308,12,28,0.42857142857142855,13,24,0.5416666666666666,0.5961538461538461,2,2,1.0,9,18,27,15,7,2,8,17,64
66,19,1932,313,622,0.5032154340836013,116,290,0.4,197,332,0.5933734939759037,0.5964630225080386,98,113,0.8672566371681416,81,316,397,147,44,52,106,143,840
6,0,36,8,17,0.47058823529411764,0,5,0.0,8,12,0.6666666666666666,0.47058823529411764,1,2,0.5,3,11,14,1,0,2,4,6,17
20,1,98,17,29,0.5862068965517241,0,0,nan,17,29,0.5862068965517241,0.5862068965517241,5,11,0.45454545454545453,12,20,32,1,5,4,5,8,39
41,1,281,33,72,0.4583333333333333,9,33,0.2727272727272727,24,39,0.6153846153846154,0.5208333333333334,10,13,0.7692307692307693,11,39,50,14,11,2,14,18,85
2,0,27,5,14,0.35714285714285715,1,5,0.2,4,9,0.4444444444444444,0.39285714285714285,2,4,0.5,3,10,13,2,0,2,2,3,13
59,16,1415,256,495,0.5171717171717172,20,77,0.2597402597402597,236,418,0.5645933014354066,0.5373737373737374,78,113,0.6902654867256637,97,231,328,95,60,51,33,84,610
63,63,1848,429,771,0.556420233463035,83,208,0.39903846153846156,346,563,0.6145648312611013,0.6102464332036317,170,204,0.8333333333333334,118,349,467,78,34,63,84,193,1111
70,70,2243,204,509,0.40078585461689586,135,356,0.3792134831460674,69,153,0.45098039215686275,0.5333988212180747,50,62,0.8064516129032258,61,405,466,117,101,84,64,195,593
60,42,1648,199,492,0.40447154471544716,148,380,0.3894736842105263,51,112,0.45535714285714285,0.5548780487804879,57,75,0.76,32,250,282,127,48,27,55,125,603
36,36,1162,301,613,0.4910277324632953,26,100,0.26,275,513,0.5360623781676414,0.5122349102773246,158,214,0.7383177570093458,62,224,286,110,45,59,74,60,786
10,0,212,32,67,0.47761194029850745,2,15,0.13333333333333333,30,52,0.5769230769230769,0.4925373134328358,18,22,0.8181818181818182,16,24,40,24,8,0,6,9,84
61,61,2056,455,920,0.4945652173913043,19,74,0.25675675675675674,436,846,0.5153664302600472,0.5048913043478261,387,440,0.8795454545454545,40,219,259,422,56,15,119,128,1316
14,1,141,16,40,0.4,1,8,0.125,15,32,0.46875,0.4125,11,14,0.7857142857142857,8,26,34,8,7,6,3,16,44
56,11,869,107,282,0.37943262411347517,26,115,0.22608695652173913,81,167,0.48502994011976047,0.425531914893617,45,64,0.703125,39,104,143,47,24,9,44,94,285
12,0,81,2,9,0.2222222222222222,2,6,0.3333333333333333,0,3,0.0,0.3333333333333333,0,0,nan,4,17,21,5,1,1,2,7,6
35,32,1157,324,603,0.5373134328358209,85,189,0.4497354497354497,239,414,0.5772946859903382,0.6077943615257048,210,238,0.8823529411764706,13,234,247,195,25,45,120,70,943
2,0,38,5,14,0.35714285714285715,2,9,0.2222222222222222,3,5,0.6,0.42857142857142855,3,4,0.75,3,9,12,5,0,0,0,7,15
60,60,1921,220,466,0.4721030042918455,119,302,0.39403973509933776,101,164,0.6158536585365854,0.5997854077253219,31,41,0.7560975609756098,98,228,326,102,52,25,48,138,590
3,0,11,1,3,0.3333333333333333,1,2,0.5,0,1,0.0,0.5,0,0,nan,0,3,3,0,0,0,0,3,3
7,0,101,13,28,0.4642857142857143,5,15,0.3333333333333333,8,13,0.6153846153846154,0.5535714285714286,12,13,0.9230769230769231,6,8,14,5,3,3,2,8,43
21,0,241,24,60,0.4,13,32,0.40625,11,28,0.39285714285714285,0.5083333333333333,11,17,0.6470588235294118,20,34,54,11,9,8,15,32,72
